face_measurement_id,person_id,image_name,image_path,visibility_label,true_hairline_y,true_y_source,estimated_hairline_y,detected_hairline_y,mean_difference_ratio,std_difference_ratio,min_difference_ratio,max_difference_ratio,near_boundary_ratio,mean_skin_ratio
125,228,D:\data\raw_data\20221014_ID0228_C_02_N00066.png,D:\data\raw_data\20221014_ID0228_C_02_N00066.png,covered,,unknown,200.944679,321.000000,0.612276,0.135708,0.351487,0.926650,0.000000,0.334477
126,229,D:\data\raw_data\20221014_ID0229_C_02_N00117.png,D:\data\raw_data\20221014_ID0229_C_02_N00117.png,covered,,unknown,239.832893,354.000000,0.729891,0.110857,0.510960,0.936021,0.000000,0.250724
127,230,D:\data\raw_data\20221014_ID0230_C_02_N00093.png,D:\data\raw_data\20221014_ID0230_C_02_N00093.png,visible,250.000000,detected,237.851898,250.000000,0.174981,0.120298,0.052108,0.581845,0.298413,0.624733
128,234,D:\data\raw_data\20221014_ID0234_C_01_N00191.png,D:\data\raw_data\20221014_ID0234_C_01_N00191.png,covered,,unknown,248.561600,310.000000,0.329679,0.080322,0.167463,0.537222,0.000000,0.539516
129,237,D:\data\raw_data\20221014_ID0237_C_02_N00032.png,D:\data\raw_data\20221014_ID0237_C_02_N00032.png,visible,287.000000,detected,224.707855,287.000000,0.339728,0.042382,0.286916,0.473723,0.000000,0.527425
130,241,D:\data\raw_data\20221014_ID0241_C_02_N00013.png,D:\data\raw_data\20221014_ID0241_C_02_N00013.png,partial,255.000000,detected,236.994568,255.000000,0.296298,0.268097,0.062517,0.890493,0.115265,0.569536
131,1069,D:\data\raw_data\20221014_ID1069_C_01_N00042.png,D:\data\raw_data\20221014_ID1069_C_01_N00042.png,visible,293.000000,detected,253.880241,293.000000,0.313761,0.112368,0.203450,0.631531,0.000000,0.543489
132,245,D:\data\raw_data\20221017_ID0245_C_01_N00004.png,D:\data\raw_data\20221017_ID0245_C_01_N00004.png,partial,281.000000,manual,266.251770,357.000000,0.561643,0.206395,0.128637,0.915307,0.000000,0.367981
133,246,D:\data\raw_data\20221017_ID0246_C_02_N00135.png,D:\data\raw_data\20221017_ID0246_C_02_N00135.png,partial,277.000000,manual,235.396103,298.000000,0.393279,0.118247,0.249258,0.685142,0.000000,0.499590
134,247,D:\data\raw_data\20221017_ID0247_C_01_N00013.png,D:\data\raw_data\20221017_ID0247_C_01_N00013.png,visible,252.000000,detected,252.532074,252.000000,0.113673,0.149297,-0.024222,0.654551,0.562701,0.721886
135,248,D:\data\raw_data\20221017_ID0248_C_02_N00107.png,D:\data\raw_data\20221017_ID0248_C_02_N00107.png,partial,255.000000,detected,228.419525,255.000000,0.475040,0.329963,0.114507,1.021844,0.000000,0.462653
